City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Pahrump,US,36.2083,-115.9839,90.05,6,0,3.0,clear sky
319,Soverato,IT,38.685,16.5499,66.15,49,72,5.26,broken clouds
320,Highland Springs,US,37.546,-77.3278,76.28,94,1,0.0,clear sky
321,Erdaojiang,CN,41.7764,126.0319,69.3,59,100,1.66,overcast clouds
322,Reo,BF,12.3167,-2.4667,78.17,65,5,6.15,clear sky
323,Payo,ID,-3.7508,103.6372,78.1,83,84,1.39,broken clouds
324,Rostovka,RU,55.3842,71.8891,38.28,94,52,10.92,broken clouds
325,Manokwari,ID,-0.8667,134.0833,81.93,70,99,6.02,light rain
326,Arlit,NE,18.7369,7.3853,90.68,10,0,4.36,clear sky
327,San Pedro,PH,14.35,121.0167,80.35,90,100,10.04,overcast clouds
328,Oranjemund,NA,-28.55,16.4333,54.37,89,47,10.58,scattered clouds
329,Tripoli,LY,32.8752,13.1875,85.01,33,0,10.65,clear sky
330,Gimli,CA,50.6336,-96.9907,71.44,51,0,21.3,clear sky
331,Port Hedland,AU,-20.3167,118.5667,87.85,10,5,8.05,clear sky
332,Timizart,DZ,36.8,4.2667,70.61,79,0,2.68,clear sky
333,Ayagoz,KZ,47.9714,80.4392,46.45,53,0,2.48,clear sky
334,Rajanpur,PK,29.1035,70.325,89.15,47,1,7.45,clear sky
335,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,73,81,6.55,broken clouds
336,Cape Coast,GH,5.1053,-1.2466,75.11,93,100,6.76,overcast clouds
337,Banjar,ID,-8.19,114.9675,82.26,63,12,1.23,few clouds
338,Ugoofaaru,MV,5.6667,73.0,82.45,77,29,9.15,scattered clouds
339,Machesney Park,US,42.3472,-89.039,76.06,63,1,8.05,clear sky
340,Faanui,PF,-16.4833,-151.75,77.83,75,16,17.65,light rain
341,Gold Coast,AU,-28.0,153.4333,81.77,54,59,1.99,broken clouds
342,Belyy Yar,RU,53.6039,91.3903,46.29,93,95,2.24,overcast clouds
343,Hami,CN,42.8,93.45,72.39,22,4,6.58,clear sky
344,Lexington,US,37.9887,-84.4777,76.98,81,100,3.29,overcast clouds
345,Cabra,ES,37.4725,-4.4421,68.9,49,6,1.88,clear sky
346,Bitung,ID,1.4451,125.1824,86.85,77,51,10.92,broken clouds
